nom_produit,code_produit,prix
clavier mecanique,PR-001,89.99
souris  optique,PR-002,14.5
ecran 27 pouces,PR-003,279.0
chaise de bureau,PR-004,45.99
bureau d'angle,PR-005,230.0
casque audio,PR-006,59.0
ssd 1to,PR-007,99.99
disque dur externe,PR-008,120.0
cable hdmi,PR-009,8.9
webcam hd,PR-010,45.0
tapis de  souris,PR-011,15.5
micro usb,PR-012,17.0
station d'accueil,PR-013,35.0
chargeur  universel,PR-014,18.9
sacoche ordinateur,PR-015,22.5
boitier pc,PR-016,150.0
carte  graphique,PR-017,110.0
processeur intel,PR-018,79.9
cle usb 32go,PR-019,11.0
imprimante multifonction,PR-020,33.33
